City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
Barrow,71.2906,-156.7887,-2.2,78,90,16.11,overcast clouds,US,2021-01-17 22:24:31
Mehamn,71.0357,27.8492,37.4,81,75,16.11,light rain,NO,2021-01-17 22:24:31
Medicine Hat,50.0501,-110.6683,36.0,64,90,10.36,overcast clouds,CA,2021-01-17 22:24:31
Mpulungu,-8.7623,31.1141,72.9,63,100,1.45,overcast clouds,ZM,2021-01-17 22:24:31
Gbarnga,6.9956,-9.4722,71.06,75,0,2.82,clear sky,LR,2021-01-17 22:24:31
Vila,42.0304,-8.1588,42.01,82,3,4.0,clear sky,PT,2021-01-17 22:24:31
Saint-Philippe,-21.3585,55.7679,78.8,65,0,4.61,clear sky,RE,2021-01-17 22:20:02
Aklavik,68.2191,-135.0107,-4.0,84,83,4.61,broken clouds,CA,2021-01-17 22:24:31
Kununurra,-15.7667,128.7333,82.4,69,28,4.61,scattered clouds,AU,2021-01-17 22:24:31
North Platte,41.1239,-100.7654,44.6,26,1,12.66,clear sky,US,2021-01-17 22:19:33
Mar Del Plata,-38.0023,-57.5575,63.0,77,75,12.66,broken clouds,AR,2021-01-17 22:24:31
Port Shepstone,-30.7414,30.455,72.48,79,97,9.31,overcast clouds,ZA,2021-01-17 22:24:32
Airai,-8.9266,125.4092,61.38,100,100,0.78,light rain,TL,2021-01-17 22:24:32
Muros,42.7762,-9.0603,51.01,92,15,1.01,few clouds,ES,2021-01-17 22:24:32
Bubaque,11.2833,-15.8333,78.13,66,95,13.78,overcast clouds,GW,2021-01-17 22:23:23
Preobrazheniye,42.9019,133.9064,11.12,88,95,3.09,overcast clouds,RU,2021-01-17 22:24:32
Quzhou,28.9594,118.8686,33.76,86,0,3.78,clear sky,CN,2021-01-17 22:24:32
Glens Falls,43.3095,-73.644,37.99,60,90,6.91,overcast clouds,US,2021-01-17 22:24:32
Hovd,48.0056,91.6419,0.95,80,93,2.68,overcast clouds,MN,2021-01-17 22:24:32
Chuy,-33.6971,-53.4616,71.42,60,75,9.08,broken clouds,UY,2021-01-17 22:24:32
Senador Jose Porfirio,-2.5908,-51.9542,80.19,79,100,3.96,light rain,BR,2021-01-17 22:24:32
Berdigestyakh,62.0989,126.6992,-47.31,76,99,3.69,overcast clouds,RU,2021-01-17 22:24:32
Bengkulu,-3.8004,102.2655,75.16,85,99,5.79,light rain,ID,2021-01-17 22:24:33
Paamiut,61.994,-49.6678,28.17,94,100,9.75,overcast clouds,GL,2021-01-17 22:24:33
Norman Wells,65.282,-126.8329,-11.2,84,75,2.3,broken clouds,CA,2021-01-17 22:24:33
Dobrinka,52.1653,40.4731,-6.11,91,100,2.64,overcast clouds,RU,2021-01-17 22:24:33
Poum,-20.2333,164.0167,82.67,79,75,10.71,heavy intensity rain,NC,2021-01-17 22:24:33
Bethel,41.3712,-73.414,41.0,52,90,8.05,overcast clouds,US,2021-01-17 22:24:33
Wasilla,61.5814,-149.4394,37.4,60,90,10.36,overcast clouds,US,2021-01-17 22:24:33
East London,-33.0153,27.9116,70.34,71,92,4.9,overcast clouds,ZA,2021-01-17 22:24:33
Hirekerur,14.4667,75.3833,69.26,57,0,8.61,clear sky,IN,2021-01-17 22:24:33
Kodiak,57.79,-152.4072,37.4,75,90,8.05,overcast clouds,US,2021-01-17 22:24:33
Tottori,35.5,134.2333,32.0,69,20,5.75,few clouds,JP,2021-01-17 22:24:33
Tilichiki,60.4667,166.1,-16.49,84,100,15.35,overcast clouds,RU,2021-01-17 22:24:33
Port Hedland,-20.3167,118.5667,89.6,31,14,12.66,few clouds,AU,2021-01-17 22:24:33
Coquimbo,-29.9533,-71.3436,66.2,63,0,16.11,clear sky,CL,2021-01-17 22:20:30
Kloulklubed,7.0419,134.2556,75.2,88,90,9.22,heavy intensity rain,PW,2021-01-17 22:24:33
Hamilton,39.1834,-84.5333,35.01,80,90,8.05,light snow,US,2021-01-17 22:23:57
Nabire,-3.3667,135.4833,76.42,87,100,2.68,light rain,ID,2021-01-17 22:24:33
Zhengjiatun,43.5064,123.5064,-8.91,85,0,11.61,clear sky,CN,2021-01-17 22:24:34
Torbay,47.6666,-52.7314,37.0,100,90,18.41,moderate rain,CA,2021-01-17 22:24:34
Sistranda,63.7256,8.834,28.4,86,75,19.57,broken clouds,NO,2021-01-17 22:24:34
Faanui,-16.4833,-151.75,81.39,75,0,14.0,clear sky,PF,2021-01-17 22:24:34
Sitka,57.0531,-135.33,42.8,81,90,6.91,light rain,US,2021-01-17 22:22:48
Tiarei,-17.5333,-149.3333,86.0,70,40,13.8,scattered clouds,PF,2021-01-17 22:24:34
Tuktoyaktuk,69.4541,-133.0374,-4.0,84,90,9.22,overcast clouds,CA,2021-01-17 22:24:34
Fortuna,40.5982,-124.1573,60.01,82,1,12.66,clear sky,US,2021-01-17 22:24:34
Tairua,-37.0167,175.85,73.0,53,28,20.0,scattered clouds,NZ,2021-01-17 22:24:34
Valparaiso,-33.0393,-71.6273,75.2,43,0,6.91,clear sky,CL,2021-01-17 22:22:52
Coihaique,-45.5752,-72.0662,62.6,55,75,10.36,broken clouds,CL,2021-01-17 22:24:34
Kaitangata,-46.2817,169.8464,62.01,42,66,8.01,broken clouds,NZ,2021-01-17 22:24:34
Avera,33.194,-82.5271,50.0,46,1,6.91,clear sky,US,2021-01-17 22:24:34
Tuensang,26.2833,94.8333,50.61,81,37,3.69,scattered clouds,IN,2021-01-17 22:24:34
Ancud,-41.8697,-73.8203,64.4,63,0,8.05,clear sky,CL,2021-01-17 22:24:34
Broken Hill,-31.95,141.4333,60.8,55,11,18.41,few clouds,AU,2021-01-17 22:24:13
Ngunguru,-35.6167,174.5,73.0,57,20,10.0,few clouds,NZ,2021-01-17 22:24:34
Hithadhoo,-0.6,73.0833,80.94,71,92,7.87,overcast clouds,MV,2021-01-17 22:24:35
Tiksi,71.6872,128.8694,-20.02,88,100,7.65,overcast clouds,RU,2021-01-17 22:24:35
Svetlaya,46.5389,138.3297,2.21,81,78,7.49,broken clouds,RU,2021-01-17 22:24:35
Gualeguay,-33.1416,-59.3097,83.14,19,0,6.62,clear sky,AR,2021-01-17 22:24:35
Lodwar,3.1191,35.5973,84.34,46,46,7.9,scattered clouds,KE,2021-01-17 22:24:35
Pueblo Nuevo,23.3833,-105.3833,70.12,22,0,4.16,clear sky,MX,2021-01-17 22:24:35
Hilo,19.7297,-155.09,80.6,57,75,4.61,light rain,US,2021-01-17 22:24:35
La Ligua,-32.4524,-71.2311,64.4,77,0,12.66,clear sky,CL,2021-01-17 22:24:35
Praia Da Vitoria,38.7333,-27.0667,62.01,94,75,31.09,light rain,PT,2021-01-17 22:23:54
Narsaq,60.9167,-46.05,22.46,90,100,5.7,overcast clouds,GL,2021-01-17 22:24:36
Ziro,27.6333,93.8333,36.95,100,0,2.66,clear sky,IN,2021-01-17 22:24:36
Barra Do Corda,-5.5,-45.25,76.62,92,100,2.17,light rain,BR,2021-01-17 22:24:36
Hofn,64.2539,-15.2082,38.88,72,100,12.53,overcast clouds,IS,2021-01-17 22:20:18
Castro,-24.7911,-50.0119,66.02,95,100,8.66,light rain,BR,2021-01-17 22:21:30
Baker City,44.7749,-117.8344,44.6,65,1,4.61,clear sky,US,2021-01-17 22:24:36
Hoshcha,50.6003,26.6744,3.4,94,100,6.51,overcast clouds,UA,2021-01-17 22:24:36
Cayenne,4.9333,-52.3333,80.6,83,75,6.91,broken clouds,GF,2021-01-17 22:24:36
Binzhou,37.3667,118.0167,22.98,69,0,5.01,clear sky,CN,2021-01-17 22:24:36
Ariquemes,-9.9133,-63.0408,76.98,94,99,2.15,overcast clouds,BR,2021-01-17 22:24:36
Otane,-39.8833,176.6333,61.0,72,32,11.01,scattered clouds,NZ,2021-01-17 22:24:36
Mancio Lima,-7.6142,-72.8958,89.6,58,20,5.75,light rain,BR,2021-01-17 22:24:36
Atasu,48.6814,71.6433,15.87,90,95,3.74,overcast clouds,KZ,2021-01-17 22:24:36
Wenling,28.3669,121.36,37.0,78,0,3.91,clear sky,CN,2021-01-17 22:24:36
Poronaysk,49.2167,143.1167,-14.98,83,92,2.55,overcast clouds,RU,2021-01-17 22:24:36
Shelburne,44.0787,-80.2041,30.99,88,96,7.74,overcast clouds,CA,2021-01-17 22:24:36
Mbandaka,0.0487,18.2603,73.04,86,98,2.73,overcast clouds,CD,2021-01-17 22:24:09
Yuanping,38.7153,112.7575,17.76,65,0,2.55,clear sky,CN,2021-01-17 22:20:31
Mlalo,-4.9333,38.9333,73.15,92,97,4.21,light rain,TZ,2021-01-17 22:24:37
Clearlake,38.9582,-122.6264,80.01,45,0,1.99,clear sky,US,2021-01-17 22:24:37
Panaba,21.2833,-88.2667,69.75,66,91,9.28,overcast clouds,MX,2021-01-17 22:24:37
Sechura,-5.5569,-80.8222,80.4,58,98,18.01,overcast clouds,PE,2021-01-17 22:23:58
Pevek,69.7008,170.3133,-28.75,86,4,3.65,clear sky,RU,2021-01-17 22:24:37
Agadez,19.75,10.25,59.76,29,100,13.47,overcast clouds,NE,2021-01-17 22:24:37
Dawei,14.0833,98.2,72.27,56,65,11.23,broken clouds,MM,2021-01-17 22:24:38
Haines Junction,60.7522,-137.5108,23.0,93,77,1.14,broken clouds,CA,2021-01-17 22:24:38
Atuona,-9.8,-139.0333,78.51,77,50,14.81,scattered clouds,PF,2021-01-17 22:20:02
Kirya,-3.9167,37.4833,73.69,79,89,3.78,overcast clouds,TZ,2021-01-17 22:24:38
Luderitz,-26.6481,15.1594,65.03,77,17,12.17,few clouds,NA,2021-01-17 22:24:38
Derzhavinsk,51.1,66.3167,6.71,94,2,7.36,clear sky,KZ,2021-01-17 22:24:38
Ventspils,57.3894,21.5606,15.8,92,90,3.44,overcast clouds,LV,2021-01-17 22:24:38
Krasnokamensk,50.0979,118.0369,-24.07,79,0,4.34,clear sky,RU,2021-01-17 22:24:38
Moose Factory,51.2585,-80.6094,8.6,85,20,8.05,few clouds,CA,2021-01-17 22:24:38
Georgetown,5.4112,100.3354,80.01,61,20,12.66,few clouds,MY,2021-01-17 22:24:38
Half Moon Bay,37.4636,-122.4286,71.6,48,1,12.66,clear sky,US,2021-01-17 22:24:38
Kovernino,57.1253,43.8142,-12.08,90,50,1.14,scattered clouds,RU,2021-01-17 22:24:38
Topaipi,5.3346,-74.3029,71.65,85,79,1.3,broken clouds,CO,2021-01-17 22:24:38
Iqaluit,63.7506,-68.5145,-14.8,70,20,5.75,few clouds,CA,2021-01-17 22:24:38
Namibe,-15.1961,12.1522,73.71,75,99,10.69,overcast clouds,AO,2021-01-17 22:22:03
Broome,42.2506,-75.833,37.0,69,90,8.05,overcast clouds,US,2021-01-17 22:20:52
Sisimiut,66.9395,-53.6735,17.44,94,100,19.42,light snow,GL,2021-01-17 22:24:38
Tarauaca,-8.1614,-70.7656,82.4,83,42,2.28,light rain,BR,2021-01-17 22:24:38
Lagoa,39.05,-27.9833,62.19,84,100,25.57,light rain,PT,2021-01-17 22:24:38
Port Blair,11.6667,92.75,79.5,79,47,16.75,scattered clouds,IN,2021-01-17 22:24:39
Pacific Grove,36.6177,-121.9166,78.8,27,1,5.75,clear sky,US,2021-01-17 22:24:39
Sabha,27.0377,14.4283,44.08,58,0,4.83,clear sky,LY,2021-01-17 22:24:39
Fairbanks,64.8378,-147.7164,5.0,85,1,1.66,clear sky,US,2021-01-17 22:24:39
Ulaangom,49.9811,92.0667,-20.96,84,80,1.3,broken clouds,MN,2021-01-17 22:24:39
Hasaki,35.7333,140.8333,34.0,80,75,6.91,light snow,JP,2021-01-17 22:21:14
Carnarvon,-24.8667,113.6333,80.6,78,98,5.75,overcast clouds,AU,2021-01-17 22:24:39
Clyde River,70.4692,-68.5914,6.8,92,90,26.46,snow,CA,2021-01-17 22:20:15
Antalaha,-14.9003,50.2788,76.41,89,7,4.97,light rain,MG,2021-01-17 22:24:39
College,64.8569,-147.8028,5.0,85,75,1.86,broken clouds,US,2021-01-17 22:24:39
Tucumcari,35.1717,-103.725,48.2,34,1,5.75,clear sky,US,2021-01-17 22:22:25
Comodoro Rivadavia,-45.8667,-67.5,71.6,53,0,11.5,clear sky,AR,2021-01-17 22:24:21
Taoudenni,22.6783,-3.9836,58.98,31,38,16.6,scattered clouds,ML,2021-01-17 22:21:42
Talnakh,69.4865,88.3972,-8.73,76,100,4.61,overcast clouds,RU,2021-01-17 22:24:40
Victoria,22.2855,114.1577,55.0,50,84,9.84,broken clouds,HK,2021-01-17 22:24:34
Manali,13.1667,80.2667,71.6,88,40,6.42,mist,IN,2021-01-17 22:24:40
Lebu,-37.6167,-73.65,59.29,76,0,20.69,clear sky,CL,2021-01-17 22:24:40
Dalvik,65.9702,-18.5286,33.8,80,90,3.44,light snow,IS,2021-01-17 22:24:40
Havelock,34.8791,-76.9013,46.99,57,1,10.36,clear sky,US,2021-01-17 22:24:40
Nanortalik,60.1432,-45.2371,27.07,94,100,4.25,overcast clouds,GL,2021-01-17 22:24:40
Chernyshkovskiy,48.4219,42.2308,12.94,95,100,9.6,snow,RU,2021-01-17 22:24:40
Kisangani,0.5167,25.2,72.7,83,58,2.66,broken clouds,CD,2021-01-17 22:24:40
Kavieng,-2.5744,150.7967,84.2,72,52,17.07,broken clouds,PG,2021-01-17 22:24:40
Jonava,55.0833,24.2833,-5.8,71,90,1.45,light snow,LT,2021-01-17 22:24:40
The Pas,53.8251,-101.2541,-2.2,78,90,4.61,overcast clouds,CA,2021-01-17 22:24:40
Longyearbyen,78.2186,15.6401,19.4,68,40,33.38,scattered clouds,SJ,2021-01-17 22:20:20
Yerbogachen,61.2767,108.0108,-39.69,79,100,4.9,overcast clouds,RU,2021-01-17 22:24:41
Aykhal,66.0,111.5,-36.67,80,89,2.71,overcast clouds,RU,2021-01-17 22:20:08
Kawalu,-7.3817,108.2082,71.91,86,66,2.46,broken clouds,ID,2021-01-17 22:24:41
Djenne,13.9061,-4.5533,72.64,19,24,10.67,few clouds,ML,2021-01-17 22:24:41
Pangody,65.85,74.4859,-12.86,89,100,11.95,overcast clouds,RU,2021-01-17 22:24:41
Evansville,37.9748,-87.5558,37.4,65,90,8.05,overcast clouds,US,2021-01-17 22:22:48
Esperance,-33.8667,121.9,59.0,82,8,9.22,clear sky,AU,2021-01-17 22:24:41
Fayetteville,35.0527,-78.8784,48.0,46,1,11.5,clear sky,US,2021-01-17 22:21:26
Gazi,35.3253,25.0669,43.0,87,40,6.91,scattered clouds,GR,2021-01-17 22:24:41
Chapais,49.7834,-74.8492,19.4,93,90,11.5,light snow,CA,2021-01-17 22:24:41
Carutapera,-1.195,-46.02,79.57,81,68,8.08,broken clouds,BR,2021-01-17 22:24:41
Thompson,55.7435,-97.8558,-7.6,77,75,3.44,broken clouds,CA,2021-01-17 22:20:54
Lakatoro,-16.0999,167.4164,84.61,72,68,7.07,broken clouds,VU,2021-01-17 22:24:41
Leona Vicario,20.9667,-87.1917,66.2,88,90,5.75,overcast clouds,MX,2021-01-17 22:24:41
Kuito,-12.3833,16.9333,64.54,79,100,1.32,overcast clouds,AO,2021-01-17 22:24:41
Ugoofaaru,5.6667,73.0,81.61,76,31,10.69,scattered clouds,MV,2021-01-17 22:24:41
San Quintin,30.4833,-115.95,73.31,29,0,5.73,clear sky,MX,2021-01-17 22:24:41
Charyshskoye,51.3978,83.5598,19.53,84,91,5.08,overcast clouds,RU,2021-01-17 22:24:41
Touros,-5.1989,-35.4608,78.8,73,20,9.22,few clouds,BR,2021-01-17 22:24:42
Aginskoye,51.1,114.53,-21.33,77,0,3.71,clear sky,RU,2021-01-17 22:24:42
Yankton,42.8711,-97.3973,37.4,60,90,14.97,overcast clouds,US,2021-01-17 22:24:42
Kemi,65.8596,24.8228,5.0,85,20,3.44,few clouds,FI,2021-01-17 22:24:42
Arraial Do Cabo,-22.9661,-42.0278,80.6,78,0,17.27,clear sky,BR,2021-01-17 22:24:35
Bathsheba,13.2167,-59.5167,78.8,73,40,19.57,scattered clouds,BB,2021-01-17 22:20:01
Brenes,37.5494,-5.8714,48.0,87,0,2.3,clear sky,ES,2021-01-17 22:24:42
Marzuq,14.4,46.4667,59.94,51,56,2.1,broken clouds,YE,2021-01-17 22:24:42
Khandyga,62.6667,135.6,-52.73,77,78,1.16,broken clouds,RU,2021-01-17 22:24:42
Tamandare,-8.7597,-35.1047,77.86,80,3,8.95,clear sky,BR,2021-01-17 22:24:42
Calama,-22.4667,-68.9333,68.0,21,0,29.93,clear sky,CL,2021-01-17 22:24:42
Tshikapa,-6.4167,20.8,70.95,92,99,2.08,light rain,CD,2021-01-17 22:24:42
Lyaskelya,61.7667,31.0167,22.5,97,96,6.26,overcast clouds,RU,2021-01-17 22:24:42
Itupiranga,-5.1347,-49.3267,80.6,94,75,0.92,heavy intensity rain,BR,2021-01-17 22:24:42
Sumbe,-11.2061,13.8437,75.31,82,100,9.28,overcast clouds,AO,2021-01-17 22:24:42
Alta Floresta,-9.8756,-56.0861,78.8,89,75,1.14,broken clouds,BR,2021-01-17 22:24:43
Pagudpud,18.5616,120.7868,73.4,73,20,17.27,few clouds,PH,2021-01-17 22:24:43
Vardo,70.3705,31.1107,33.8,86,40,25.32,light snow,NO,2021-01-17 22:24:43
Reading,51.4562,-0.9711,37.0,93,75,5.75,broken clouds,GB,2021-01-17 22:24:43
Camacha,33.0833,-16.3333,57.2,62,75,5.75,broken clouds,PT,2021-01-17 22:20:27
Saskylakh,71.9167,114.0833,-28.08,84,72,6.06,broken clouds,RU,2021-01-17 22:19:59
Xining,36.6167,101.7667,13.98,59,0,2.77,clear sky,CN,2021-01-17 22:24:43
Taree,-31.9,152.4667,71.01,73,98,4.61,overcast clouds,AU,2021-01-17 22:20:24
Xai-Xai,-25.0519,33.6442,78.57,78,100,11.92,overcast clouds,MZ,2021-01-17 22:24:43
Nannilam,10.8793,79.6106,67.78,91,3,5.66,clear sky,IN,2021-01-17 22:24:43
Provideniya,64.3833,-173.3,-2.2,65,90,11.18,overcast clouds,RU,2021-01-17 22:24:43
Sobolevo,54.4299,31.8996,-9.29,91,17,4.41,light snow,RU,2021-01-17 22:24:43
Sibu,2.3,111.8167,75.0,94,40,2.3,scattered clouds,MY,2021-01-17 22:24:44
Nantucket,41.2835,-70.0995,41.0,60,1,21.85,clear sky,US,2021-01-17 22:21:33
Casalmaggiore,44.9939,10.4189,37.0,100,40,1.14,mist,IT,2021-01-17 22:24:44
Barcelos,41.5388,-8.6151,41.0,87,0,2.3,clear sky,PT,2021-01-17 22:24:44
Araouane,18.9048,-3.5265,64.18,24,11,12.39,few clouds,ML,2021-01-17 22:24:44
Hay River,60.8156,-115.7999,8.6,85,46,2.3,scattered clouds,CA,2021-01-17 22:24:44
Neiafu,-18.65,-173.9833,84.2,74,20,9.22,few clouds,TO,2021-01-17 22:24:44
Nyurba,63.2842,118.3319,-33.65,82,100,5.5,overcast clouds,RU,2021-01-17 22:24:44
Kushima,31.4583,131.2333,33.8,74,40,2.3,scattered clouds,JP,2021-01-17 22:24:44
Pavlovsk,50.4578,40.1081,-0.56,91,100,5.06,overcast clouds,RU,2021-01-17 22:24:44
Bulungu,-4.55,18.6,71.37,89,100,0.04,light rain,CD,2021-01-17 22:24:44
Zedelgem,51.1262,3.1372,39.0,92,100,4.0,overcast clouds,BE,2021-01-17 22:24:44
Manzanillo,20.3433,-77.1167,81.18,63,100,5.44,overcast clouds,CU,2021-01-17 22:24:44
Honningsvag,70.9821,25.9704,37.4,87,75,14.97,broken clouds,NO,2021-01-17 22:24:45
Tasiilaq,65.6145,-37.6368,23.0,63,0,5.75,clear sky,GL,2021-01-17 22:19:58
Vestmannaeyjar,63.4427,-20.2734,36.81,81,100,28.32,overcast clouds,IS,2021-01-17 22:24:45
